Project,Super
org.apache.geronimo.assemblies:geronimo-jetty6-javaee5:2.1.1,apache:myfaces:2.1.1
org.apache.geronimo.assemblies:geronimo-jetty6-javaee5:2.1.1,apache:openjpa:1.0.2
org.apache.geronimo.assemblies:geronimo-jetty6-javaee5:2.1.1,mortbay:jetty:6.1.7
org.apache.geronimo.assemblies:geronimo-jetty6-javaee5:2.1.1,org.apache.cxf:cxf:2.1.1
org.apache.geronimo.assemblies:geronimo-jetty6-javaee5:2.1.1,org.apache.openjpa:openjpa:2.1.1
org.apache.geronimo.assemblies:geronimo-jetty6-javaee5:2.1.1,org.dojotoolkit:dojo:1.0.2
mortbay:jetty:6.1.7,CVE-2009-1523
mortbay:jetty:6.1.7,CVE-2009-1524
mortbay:jetty:6.1.7,CVE-2009-4609
mortbay:jetty:6.1.7,CVE-2009-4610
mortbay:jetty:6.1.7,CVE-2009-4611
mortbay:jetty:6.1.7,CVE-2009-4612
org.apache.cxf:cxf:2.1.1,CVE-2010-2076
org.dojotoolkit:dojo:1.0.2,CVE-2010-2273
org.dojotoolkit:dojo:1.0.2,CVE-2010-2274
org.dojotoolkit:dojo:1.0.2,CVE-2010-2275
org.dojotoolkit:dojo:1.0.2,CVE-2010-2276
apache:myfaces:2.1.1,CVE-2011-4367
mortbay:jetty:6.1.7,CVE-2011-4461
org.apache.openjpa:openjpa:2.1.1,CVE-2013-1768
